Order,Family,Subfamily,Tribe,Subtribe,Genus,Species,Infradel,Subspecies,Taxon,Taxonomy_Status,Pathway,BS_area_um2,FM_DM,FM_DM_sd,IAS,IAS_sd,SLA_cm2_g-1,SLA_cm2_g-1_sd,air_channel_area_um2,air_channel_area_um2_sd,chlorenchyma_diameter_um,chlorenchyma_diameter_um_sd,chlorenchyma_hydrenchyma_ratio,chlorenchyma_hydrenchyma_ratio_sd,chlorenchyma_vertical_thickness_um,chlorenchyma_vertical_thickness_um_sd,distance_between_BS_um,Kranz_anatomy,hydrenchyma_vertical_thickness_um,hydrenchyma_vertical_thickness_um_sd,leaf_thickness_um,leaf_thickness_um_sd,mesophyll_abaxial_area_um2,mesophyll_abaxial_length_um,mesophyll_adaxial_area_um2,mesophyll_adaxial_length_um,mesophyll_thickness_um,mesophyll_thickness_um_sd,mesophyll_cell_area_um2,Habit,dC13,tissue,CITEKEYS
,Poaceae,,Oryzeae,,Oryza,sativa,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Oryzeae,,Oryza,granulata,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Oryzeae,,Oryza,officinalis,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Oryzeae,,Oryza,eichingeri,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Oryzeae,,Oryza,brachyantha,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Oryzeae,,Oryza,latifolia,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Oryzeae,,Oryza,ridleyi,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Oryzeae,,Oryza,minuta,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Oryzeae,,Oryza,sublata,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Oryzeae,,Oryza,breviligulata,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Oryzeae,,Oryza,punctata,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Oryzeae,,Oryza,australiensis,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Oryzeae,,Oryza,malampuzhaensis,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Oryzeae,,Oryza,glandiglumis,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Oryzeae,,Oryza,paraguayensis,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Oryzeae,,Zizania,latifolia,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Festuceae,,Dactylis,glomerata,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Festuceae,,Lolium,multiflorum,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Festuceae,,Lolium,perenne,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Festuceae,,Poa,pratensis,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Festuceae,,Poa,annua,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Festuceae,,Festuca,ampla,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Festuceae,,Bromus,catharticus,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Festuceae,,Bromus,remotiflorus,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Festuceae,,Bromus,japonicus,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Triticeae,,Hordeum,vulgare,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Triticeae,,Hordeum,distichon,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Triticeae,,Aegilops,cylindrica,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Triticeae,,Aegilops,perignina,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Triticeae,,Agropyron,ciliare,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Triticeae,,Agropyron,transiens,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Triticeae,,Triticum,aestivum,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Triticeae,,Secale,cereale,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Aveneae,,Avena,fatua,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Aveneae,,Avena,sativa,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Agrostideae,,Agrostis,alba,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Agrostideae,,Phleum,alpinum,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Agrostideae,,Phleum,paniculatum,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Agrostideae,,Alopecurus,aequalis,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Arundineae,,Phragmites,communis,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Chlorideae,,Zoisia,japonica,,,,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Chlorideae,,Cynodon,dactylon,,,,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Eragostreae,,Eleusine,indica,,,,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Eragostreae,,Eragrostis,ferrugineae,,,,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Eragostreae,,Eragrostis,multicaulis,,,,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Paniceae,,Digitaria,adscendens,,,,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Paniceae,,Echinochloa,crus-galli,var.,caudata,,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Paniceae,,Echinochloa,crus-galli,var.,hispidula,,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Paniceae,,Pennisetum,alopecuroides,,,,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Paniceae,,Paspalm,notatum,,,,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Paniceae,,Paspalm,dilatatum,,,,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Paniceae,,Setaria,viridis,,,,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Andropogoneae,,Andropogon,brevifolius,,,,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Andropogoneae,,Sorghum,sudanense,,,,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Andropogoneae,,Sorghum,vulgare,,,,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Andropogoneae,,Imperata,cylindrica,,,,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Andropogoneae,,Miscanthus,sinensis,,,,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Andropogoneae,,Miscanthus,sacchariflorus,,,,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Andropogoneae,,Zea,mays,,,,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Andropogoneae,,Coix,bacryma-jobi,,,,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Poaceae,,Andropogoneae,,Euchlaena,mexicana,,,,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Cyperaceae,,,,Cyperus,iria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Cyperaceae,,,,Cyperus,rotundus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Cyperaceae,,,,Cyperus,serotinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Cyperaceae,,,,Cyperus,difformis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Cyperaceae,,,,Killinga,brevifolia,,,,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Cyperaceae,,,,Eleocharis,acicularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Cyperaceae,,,,Eleocharis,kuroguwai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Cyperaceae,,,,Fimbristylis,littoralis,,,,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Cyperaceae,,,,Fimbristylis,aestivalis,,,,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Cyperaceae,,,,Pycreus,unioloides,,,,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Cyperaceae,,,,Rhynchospora,faberi,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Cyperaceae,,,,Carex,kobomugi,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Amaranthaceae,,,,Amaranthus,lividis,,,,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Amaranthaceae,,,,Amaranthus,patulus,,,,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Amaranthaceae,,,,Amaranthus,viridis,,,,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Amaranthaceae,,,,Celosia,sp.,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Amaranthaceae,,,,Achyranthes,jaoponica,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Amaranthaceae,,,,Atriplex,gmelinii,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Amaranthaceae,,,,Beta,vulgaris,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Amaranthaceae,,,,Chenopodium,album,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Amaranthaceae,,,,Spinacia,oleracea,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Portulacaceae,,,,Portulaca,grandiflora,,,,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Polygonaceae,,,,Rumex,acetosa,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Fabaceae,,,,Vicia,sativa,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Fabaceae,,,,Vicia,faba,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Fabaceae,,,,Medicago,sativa,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Fabaceae,,,,Glycine,max,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Fabaceae,,,,Trifolium,pratense,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Fabaceae,,,,Trifolium,repens,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Asteraceae,,,,Helianthus,annus,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Solanaceae,,,,Solanum,lycopersicum,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS