Order,Family,Subfamily,Tribe,Subtribe,Genus,Species,Infradel,Subspecies,Taxon,Taxonomy_Status,Pathway,Pathway_subtype,dC13,Kranz_anatomy,Kranz_subtype,BS_area_um2,FM_DM,FM_DM_sd,leaf_thickness_um,leaf_thickness_um_sd,IAS,IAS_sd,SLA_cm2_g-1,SLA_cm2_g-1_sd,air_channel_area_um2,air_channel_area_um2_sd,chlorenchyma_diameter_um,chlorenchyma_diameter_um_sd,chlorenchyma_hydrenchyma_ratio,chlorenchyma_hydrenchyma_ratio_sd,chlorenchyma_vertical_thickness_um,chlorenchyma_vertical_thickness_um_sd,distance_between_BS_um,hydrenchyma_vertical_thickness_um,hydrenchyma_vertical_thickness_um_sd,mesophyll_area_um2,mesophyll_thickness_um,mesophyll_thickness_um_sd,BS:M,mesophyll_cell_area_um2,vein_density_m_mm-2,Habit,tissue,CITEKEYS
,Poaceae,,,,Saccharum,,,,,,C4,,-13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1968RC
,,,,,Sorghum,,,,,,C4,,-12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1968RC
,,,,,Sorghum,sudanense,,,,,C4,,-13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1968RC
,,,,,Zea,mays,,,,,C4,,-11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1968RC
,,,,,Zea,mays,,,,,C4,,-13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1968RC
,,,,,Paspalum,notatum,,,,,C4,,-13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1968RC
,,,,,Digitaria,sanguinalis,,,,,C4,,-12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1968RC
,,,,,Setaria,italica,,,,,C4,,-13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1968RC
,,,,,Setaria,viridis,,,,,C4,,-13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1968RC
,,,,,Panicum,miliaceum,,,,,C4,,-14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1968RC
,,,,,Panicum,capillare,,,,,C4,,-14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1968RC
,,,,,Dactylis,glomerata,,,,,C3,,-26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1968RC
,,,,,Avena,,,,,,C3,,-27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1968RC
,,,,,Triticum,sativum,,,,,C3,,-26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1968RC
,,,,,Hordeum,,,,,,C3,,-27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1968RC
,,,,,Phleum,,,,,,C3,,-28.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bender1968RC