Order,Family,Subfamily,Tribe,Subtribe,Taxon,Genus,Species,Subspecies,Pathway,Kranz_anatomy,dC13,BS_area_um2,FM_DM,FM_DM_sd,IAS,IAS_sd,SLA_cm2_g-1,SLA_cm2_g-1_sd,air_channel_area_um2,air_channel_area_um2_sd,chlorenchyma_diameter_um,chlorenchyma_diameter_um_sd,chlorenchyma_hydrenchyma_ratio,chlorenchyma_hydrenchyma_ratio_sd,chlorenchyma_vertical_thickness_um,chlorenchyma_vertical_thickness_um_sd,distance_between_BS_um,hydrenchyma_vertical_thickness_um,hydrenchyma_vertical_thickness_um_sd,leaf_thickness_um,leaf_thickness_um_sd,mesophyll_abaxial_area_um2,mesophyll_abaxial_length_um,mesophyll_adaxial_area_um2,mesophyll_adaxial_length_um,mesophyll_thickness_um,mesophyll_thickness_um_sd,mesophyll_cell_area_um2,Habit,tissue,CITEKEYS
,,,,,Aptenia cordifolia,,,,CAM/C3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Chryophytum crystallinum,,,,CAM/C3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Cypselea humifusa,,,,C4,1,-12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Cypselea humifusa,,,,C4,1,-11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Cypselea humifusa,,,,C4,1,-12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Cypselea humifusa,,,,C4,1,-9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Delosperma cooperi,,,,CAM/C3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Gibbaeum pachypodium,,,,CAM/C3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Phytolacca dioica,,,,C3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium ayresii,,,,,,-24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium ayresii,,,,,,-27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium congense,,,,C4,1,-13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium crithmoides,,,,C4,1,-10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium crithmoides,,,,C4,1,-13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium distylum,,,,,,-27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium edmonstonei,,,,,,-20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium edmonstonei,,,,,,-22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium erectum,,,,,,-28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium erectum,,,,,,-23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium erectum,,,,,,-25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium maritimum,,,,C3,0,-27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium maritimum,,,,C3,0,-26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium maritimum,,,,C3,0,-30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium maritimum,,,,C3,0,-25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium maritimum,,,,C3,0,-28.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium mesembryanthemoides,,,,,,-10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium mesembryanthemoides,,,,,,-11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium microphyllum,,,,,,-26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium microphyllum,,,,,,-24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium portulacastrum,,,,C3,0,-24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium portulacastrum,,,,C3,0,-25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium portulacastrum,,,,C3,0,-23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium portulacastrum,,,,C3,0,-25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium portulacastrum,,,,C3,0,-23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium portulacastrum,,,,C3,0,-28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium portulacastrum,,,,C3,0,-25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium sessile,,,,C3,0,-25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium sessile,,,,C3,0,-24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium sessile,,,,C3,0,-24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium sesuvioides,,,,C4,1,-11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium sesuvioides,,,,C4,1,-10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium sesuvioides,,,,C4,1,-11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium sesuvioides,,,,C4,1,-14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium sesuvioides,,,,C4,1,-14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium sesuvioides,,,,C4,1,-11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium sesuvioides,,,,C4,1,-10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium sesuvioides,,,,C4,1,-15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium sesuvioides,,,,C4,1,-14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium sesuvioides,,,,C4,1,-12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium sesuvioides,,,,C4,1,-12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium sesuvioides,,,,C4,1,-10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium sesuvioides,,,,C4,1,-11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium verrucosum,,,,C3,0,-26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium verrucosum,,,,C3,0,-25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium verrucosum,,,,C3,0,-22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium verrucosum,,,,C3,0,-24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Sesuvium verrucosum,,,,C3,0,-22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Tetragonia tetragonoides,,,,CAM/C3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema argentina,,,,C4,1,-10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema ceratosepala,,,,C3,0,-21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema ceratosepala,,,,C3,0,-25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema ceratosepala,,,,C3,0,-27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema clavata,,,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema compacta,,,,C4,,-14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema corallicola,,,,C4,,-14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema corymbosa,,,,C4,1,-13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema corymbosa,,,,C4,1,-13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema crystallina,,,,C4,1,-14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema crystallina,,,,C4,1,-13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema cussakiana,,,,,,-10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema glossostigma,,,,,,-11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema glossostigma,,,,,,-12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema hecatandra,,,,,,-12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema hecatandra,,,,,,-12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema megasperma,,,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema oxycalyptra,,,,C4,,-13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema oxycalyptra,,,,C4,,-14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema oxycalyptra,,,,C4,,-11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema parvifolia,,,,C4,1,-13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema parvifolia,,,,C4,1,-11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema parvifolia,,,,C4,1,-16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema patellitecta,,,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema pilosa,,,,C4,1,-13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema pilosa,,,,C4,1,-11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema portulacastrum,,,,C4,1,-13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema portulacastrum,,,,C4,1,-11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema portulacastrum,,,,C4,1,-12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema portulacastrum,,,,C4,1,-11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema rhynchocalyptra,,,,C4,,-11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema rhynchocalyptra,,,,C4,,-12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema salsoloides,,,,C4,1,-11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema salsoloides,,,,C4,1,-13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema sedifolia,,,,C4,1,-11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema sedifolia,,,,C4,1,-13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema sedifolia,,,,C4,1,-12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema sheilae,,,,C4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema transvaalensis,,,,C4,1,-13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema transvaalensis,,,,C4,1,-12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema turgidifolia,,,,C4,,-11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema ufoensis,,,,C4,,-10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema vleiensis,,,,C4,1,-14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema vleiensis,,,,C4,1,-14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Tribulocarpus dimorphanthus,,,,C3,0,-24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Tribulocarpus retusus,,,,C3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Zaleya decandra,,,,,,-10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Zaleya galericulata,,,,C4,1,-12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Zaleya galericulata,,,,C4,1,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Zaleya galericulata,,,,C4,1,-15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Zaleya pentandra,,,,C4,1,-13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Zaleya pentandra,,,,C4,1,-12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Zaleya pentandra,,,,C4,1,-12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Zaleya pentandra,,,,C4,1,-13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Zaleya pentandra,,,,C4,1,-12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Zaleya pentandra,,,,C4,1,-12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Zaleya redimita,,,,C4,1,-13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Zaleya senniei,,,,,,-13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES